stt,bot_msg_id,question_msg_id,time,nhan_menu,hanh_dong_dung,ly_do_chinh,ly_do_phu,do_chac,so_tin_nhan_them_30p,tom_tat_y_hoi,giai_thich
1,M30065,M94466,2026-09-12 13:33,THỪA,ANSWER,R4,R1,cao,2,Ngồi nhầm phòng lab hôm qua có ảnh hưởng gì không,Ý hỏi rõ (hậu quả điểm danh). Menu có lựa chọn vô nghĩa: ngồi nhầm phòng lab trong một kênh Discord.
2,M81774,M61735,2026-09-12 16:32,CẦN,CLARIFY,R6,R5,thấp,1,Không đăng nhập được Phoenix,"Cần biết lỗi hiện ra là gì nên hỏi lại 1 câu là hợp lý, nhưng menu đưa 3 câu hỏi thay vì 3 lựa chọn."
3,M53789,M48190,2026-09-12 16:33,CẦN,CLARIFY,R6,,thấp,2,Xin danh sách giảng viên hỗ trợ,"Có thể là theo lớp hoặc toàn chương trình. Người hỏi sau đó nêu 2 phòng cụ thể, nên hỏi lại lớp nào là hợp lý."
4,M36672,M49945,2026-09-12 18:46,THỪA,ANSWER,R1,,cao,3,Khi nào bắt đầu tính điểm XP,"Câu hỏi rõ, 1 ý. Người hỏi phải trả lời 'tất cả' 2 lần rồi tự liệt kê lại."
5,M39039,M00499,2026-09-12 18:49,THỪA,ESCALATE,R5,R2,cao,1,Liệt kê 3 hoạt động chưa được cộng XP,"Người hỏi đã đánh số sẵn 3 ý. Đây là sự cố cộng điểm của cá nhân, nên chuyển TA."
6,M85319,M24294,2026-09-12 18:55,THỪA,ANSWER,R7,R4,cao,2,Xem mình có bị lỡ điểm danh buổi nào (xem ở hệ thống trường),2 tin trước đã nói rõ là điểm danh. Bot bỏ qua và đưa menu lạc đề (quy định đặt tên Zoom).
7,M37493,M96789,2026-09-12 21:04,THỪA,ANSWER,R1,,thấp,2,Làm sao theo kịp tiến độ chương trình,"Trả lời chung được, nhưng chữ tiến độ có thể hiểu 2 nghĩa nên độ chắc thấp."
8,M41681,M88727,2026-09-12 21:57,THỪA,ANSWER,R2,,cao,2,Hoạt động cày XP và daily standup bắt đầu khi nào,"Hỏi 2 thứ, trả lời được cả 2. Bot bắt chọn 1, người hỏi trả lời 'cả hai'."
9,M31615,M32171,2026-09-12 22:28,THỪA,ANSWER,R2,,cao,2,Xin tài liệu hướng dẫn setup Git → Phoenix → team,"Muốn 1 tài liệu trọn bộ. Bot tách thành 3 lựa chọn, người hỏi phải nhắc lại."
10,M92484,M20574,2026-09-13 00:15,CẦN,CLARIFY,R6,,cao,4,Muộn sau 23h59 (không nói muộn việc gì),"Thiếu thông tin thật. Hỏi lại là đúng, dù lẽ ra chỉ cần 1 câu."
11,M20301,M58070,2026-09-13 09:09,THỪA,ANSWER,R4,,thấp,1,Làm sao biết mình đã điểm danh,Có nhiều hình thức điểm danh nên có thể liệt kê gộp. Menu thiếu đúng hình thức người hỏi dùng (Google Forms).
12,M79582,M42370,2026-09-13 09:41,THỪA,ANSWER,R3,,cao,1,Dùng lệnh topic pick ở đâu và như thế nào,Bot hiểu chữ 'dung' (không dấu) là tên riêng. Người hỏi trả lời 'cả 2'.
13,M81193,M92442,2026-09-13 10:34,THỪA,ANSWER,R2,,cao,1,Hỏi giới hạn tính toán của bot và nên dùng bot chung hay chatbot riêng,"Ngoài phạm vi, nên từ chối ngắn gọn cho cả 2 ý. Người hỏi trả lời 'cả hai'."
14,M70656,M12561,2026-09-13 11:51,THỪA,ANSWER,R2,,cao,3,Giải thích chi tiết daily standup và mentor duty,Đã nói rõ cần cả 2. Bot bắt chọn 1.
15,M20697,M15979,2026-09-13 11:54,THỪA,ANSWER,R7,R2,cao,1,Nhắc lại: demo daily standup và mentor duty,Vòng lặp: vừa trả lời 'cả 2' xong lại nhận menu y hệt.
16,M03496,M59124,2026-09-13 13:58,THỪA,ANSWER,R4,,cao,1,Theo dõi điểm lab ở đâu,Menu hỏi ngược lại chính câu hỏi (theo dõi trên hệ thống nào).
17,M91156,,2026-09-13 14:24,LOẠI,,,,,0,(Câu hỏi gốc không có trong pack),"Không đánh giá được, loại khỏi mẫu."
18,M77867,M95844,2026-09-13 15:33,CẦN,CLARIFY,R6,,thấp,1,"Giải thích các phase 1, 2, 3","Phase có thể thuộc nhiều quy trình. Hỏi lại có thể hợp lý, cần kiểm tra khoá có đúng 1 bộ phase 1-2-3 không."
19,M20940,M85508,2026-09-13 17:20,THỪA,ANSWER,R4,,cao,1,Tối nay có lịch gì không,Câu hỏi rõ. Menu có lựa chọn vô nghĩa: lịch trình các lệnh bot.
20,M56866,M19701,2026-09-13 19:28,THỪA,ESCALATE,R5,R4,cao,0,"Sao không thấy mình thuộc nhóm G nào, chỉ thấy mã T","Sự cố phân nhóm của cá nhân, nên chuyển TA. Menu tách G và T là vô nghĩa."
21,M50097,M81645,2026-09-13 19:54,THỪA,ANSWER,R7,,cao,5,Tìm mã đội trên Phoenix ở đâu,2 tin trước đã nói rõ trên Phoenix. Người hỏi phải nhắc lại 3 lần.
22,M82507,M94849,2026-09-13 21:23,THỪA,ANSWER,R2,,cao,7,"Chưa có đề tài thì nộp daily gì, nộp thế nào",3 lựa chọn đều là các phần của cùng 1 câu hỏi. Người hỏi trả lời 'cả 3'.
23,M56057,M66632,2026-09-13 21:29,THỪA,ANSWER,R7,R4,cao,4,Có phải thành viên nào cũng phải nộp/tag daily không,"Ngữ cảnh daily ở 2 tin trước bị bỏ qua. Menu hỏi về tên kênh, lạc đề."
24,M36730,M30724,2026-09-13 21:59,THỪA,ANSWER,R3,,cao,0,XP tích theo team hay cá nhân,Bot hiểu XP là kinh nghiệm tích luỹ.
25,M12284,M04739,2026-09-13 22:10,THỪA,ANSWER,R2,,cao,1,Báo cáo mentor khi 1 tuần có 2 lịch + xin tin nhắn mẫu,Câu hỏi nhiều ý nhưng rõ. Người hỏi trả lời 'cả 1 và 2'.
26,M09955,M98619,2026-09-13 22:16,THỪA,ANSWER,R3,,cao,2,Cách pick topic trên Phoenix (gõ sai chính tả),Bot không nhận ra Phoenix và đưa lựa chọn không liên quan (đặt tên AI Log).
27,M29170,M66633,2026-09-13 23:54,THỪA,ANSWER,R2,,cao,3,"Channel activity hoạt động thế nào, có phải merge vào main mới thông báo","2 ý liên quan, trả lời được luôn."
28,M01639,M77407,2026-09-14 00:04,THỪA,ANSWER,R4,,cao,0,Daily standup cả nhóm nộp hay 1 người nộp,Menu đưa luôn 2 đáp án có thể có và bắt người hỏi tự chọn đáp án.
